SongID,start_time,end_time,start_frame,end_frame,label,Genre,FilePath,sp_danceability,sp_energy,sp_key,sp_loudness,sp_speechiness,sp_acousticness,sp_instrumentalness,sp_liveness,sp_valence,sp_tempo,sp_time_signature,sp_genre,sampling_rate
8,110.6,185.7,10368,17409,other,,..\data\audio_files\processed\8.mp3,0.725,0.828,7,-7.056,0.0713,0.00308,0.488,0.0846,0.349,115,4,,48000
8,185.7,219.1,17409,20540,chorus,,..\data\audio_files\processed\8.mp3,0.725,0.828,7,-7.056,0.0713,0.00308,0.488,0.0846,0.349,115,4,,48000
8,219.1,273.3910204,20540,25630,other,,..\data\audio_files\processed\8.mp3,0.725,0.828,7,-7.056,0.0713,0.00308,0.488,0.0846,0.349,115,4,,48000
10,0,47.3,0,4434,other,Dance Pop,..\data\audio_files\processed\10.mp3,0.667,0.927,10,-6.183,0.0489,0.00265,0.103,0.108,0.544,122.997,4,"uk dance, bass trap, dance pop, moombahton",48000
10,47.3,93.9,4434,8803,chorus,Dance Pop,..\data\audio_files\processed\10.mp3,0.667,0.927,10,-6.183,0.0489,0.00265,0.103,0.108,0.544,122.997,4,"uk dance, bass trap, dance pop, moombahton",48000
10,93.9,141,8803,13218,other,Dance Pop,..\data\audio_files\processed\10.mp3,0.667,0.927,10,-6.183,0.0489,0.00265,0.103,0.108,0.544,122.997,4,"uk dance, bass trap, dance pop, moombahton",48000
10,141,172.2,13218,16143,chorus,Dance Pop,..\data\audio_files\processed\10.mp3,0.667,0.927,10,-6.183,0.0489,0.00265,0.103,0.108,0.544,122.997,4,"uk dance, bass trap, dance pop, moombahton",48000
10,172.2,172.8300227,16143,16202,other,Dance Pop,..\data\audio_files\processed\10.mp3,0.667,0.927,10,-6.183,0.0489,0.00265,0.103,0.108,0.544,122.997,4,"uk dance, bass trap, dance pop, moombahton",48000
11,0,39.2,0,3675,other,Dance Pop,..\data\audio_files\processed\11.mp3,0.869,0.747,6,-6.817,0.186,0.0523,0.0912,0.202,0.69,123.999,4,"uk house, uk dance, dance pop",48000
11,39.2,81.8,3675,7668,chorus,Dance Pop,..\data\audio_files\processed\11.mp3,0.869,0.747,6,-6.817,0.186,0.0523,0.0912,0.202,0.69,123.999,4,"uk house, uk dance, dance pop",48000
11,81.8,132.1,7668,12384,other,Dance Pop,..\data\audio_files\processed\11.mp3,0.869,0.747,6,-6.817,0.186,0.0523,0.0912,0.202,0.69,123.999,4,"uk house, uk dance, dance pop",48000
11,132.1,170.8,12384,16012,chorus,Dance Pop,..\data\audio_files\processed\11.mp3,0.869,0.747,6,-6.817,0.186,0.0523,0.0912,0.202,0.69,123.999,4,"uk house, uk dance, dance pop",48000
11,170.8,194.0560091,16012,18192,other,Dance Pop,..\data\audio_files\processed\11.mp3,0.869,0.747,6,-6.817,0.186,0.0523,0.0912,0.202,0.69,123.999,4,"uk house, uk dance, dance pop",48000
12,0,32.8,0,3074,other,,..\data\audio_files\processed\12.mp3,0.656,0.863,11,-6.662,0.0347,0.0227,0.0233,0.158,0.623,122.019,4,,48000
12,32.8,64.5,3074,6046,chorus,,..\data\audio_files\processed\12.mp3,0.656,0.863,11,-6.662,0.0347,0.0227,0.0233,0.158,0.623,122.019,4,,48000
12,64.5,95.8,6046,8981,other,,..\data\audio_files\processed\12.mp3,0.656,0.863,11,-6.662,0.0347,0.0227,0.0233,0.158,0.623,122.019,4,,48000
12,95.8,127.2,8981,11925,chorus,,..\data\audio_files\processed\12.mp3,0.656,0.863,11,-6.662,0.0347,0.0227,0.0233,0.158,0.623,122.019,4,,48000
12,127.2,145.5,11925,13640,other,,..\data\audio_files\processed\12.mp3,0.656,0.863,11,-6.662,0.0347,0.0227,0.0233,0.158,0.623,122.019,4,,48000
13,0,31.9,0,2990,other,Mexican Tech House,..\data\audio_files\processed\13.mp3,0.787,0.964,6,-6.34,0.0639,0.0838,0.176,0.0465,0.719,127.991,4,"mexican tech house, tech house",48000
13,31.9,60,2990,5625,chorus,Mexican Tech House,..\data\audio_files\processed\13.mp3,0.787,0.964,6,-6.34,0.0639,0.0838,0.176,0.0465,0.719,127.991,4,"mexican tech house, tech house",48000
13,60,144.4,5625,13537,other,Mexican Tech House,..\data\audio_files\processed\13.mp3,0.787,0.964,6,-6.34,0.0639,0.0838,0.176,0.0465,0.719,127.991,4,"mexican tech house, tech house",48000
13,144.4,170.6,13537,15993,chorus,Mexican Tech House,..\data\audio_files\processed\13.mp3,0.787,0.964,6,-6.34,0.0639,0.0838,0.176,0.0465,0.719,127.991,4,"mexican tech house, tech house",48000
13,170.6,174.3750113,15993,16347,other,Mexican Tech House,..\data\audio_files\processed\13.mp3,0.787,0.964,6,-6.34,0.0639,0.0838,0.176,0.0465,0.719,127.991,4,"mexican tech house, tech house",48000
18,0,100.1,0,9384,other,Edm,..\data\audio_files\processed\18.mp3,0.567,0.938,10,-3.503,0.052,0.0179,0.00943,0.741,0.288,127.97,4,"edm, pop dance, pop edm, progressive electro house, electro house, progressive house",48000
18,100.1,130.1,9384,12196,chorus,Edm,..\data\audio_files\processed\18.mp3,0.567,0.938,10,-3.503,0.052,0.0179,0.00943,0.741,0.288,127.97,4,"edm, pop dance, pop edm, progressive electro house, electro house, progressive house",48000
18,130.1,148.5940136,12196,13930,other,Edm,..\data\audio_files\processed\18.mp3,0.567,0.938,10,-3.503,0.052,0.0179,0.00943,0.741,0.288,127.97,4,"edm, pop dance, pop edm, progressive electro house, electro house, progressive house",48000
19,0,130.1,0,12196,other,Edm,..\data\audio_files\processed\19.mp3,0.278,0.286,1,-7.981,0.0374,0.39,0.0291,0.107,0.036,124.648,4,"edm, pop dance, pop edm, progressive electro house, electro house, progressive house",48000
19,130.1,161.4,12196,15131,chorus,Edm,..\data\audio_files\processed\19.mp3,0.278,0.286,1,-7.981,0.0374,0.39,0.0291,0.107,0.036,124.648,4,"edm, pop dance, pop edm, progressive electro house, electro house, progressive house",48000
19,161.4,199.4620408,15131,18699,other,Edm,..\data\audio_files\processed\19.mp3,0.278,0.286,1,-7.981,0.0374,0.39,0.0291,0.107,0.036,124.648,4,"edm, pop dance, pop edm, progressive electro house, electro house, progressive house",48000
20,0,116,0,10875,other,Edm,..\data\audio_files\processed\20.mp3,0.442,0.277,2,-10.431,0.0336,0.466,0.432,0.16,0.0385,120.044,4,"edm, pop dance, pop edm, progressive electro house, electro house, progressive house",48000
20,116,148,10875,13875,chorus,Edm,..\data\audio_files\processed\20.mp3,0.442,0.277,2,-10.431,0.0336,0.466,0.432,0.16,0.0385,120.044,4,"edm, pop dance, pop edm, progressive electro house, electro house, progressive house",48000
20,148,181.2530159,13875,16992,other,Edm,..\data\audio_files\processed\20.mp3,0.442,0.277,2,-10.431,0.0336,0.466,0.432,0.16,0.0385,120.044,4,"edm, pop dance, pop edm, progressive electro house, electro house, progressive house",48000
21,0,69,0,6468,other,Edm,..\data\audio_files\processed\21.mp3,0.549,0.835,2,-2.632,0.0656,0.0692,0,0.212,0.423,126.08,4,"country road, edm, pop dance, country dawn, pop edm, contemporary country, progressive electro house, electro house, progressive house, country, country pop",48000
21,69,99.5,6468,9328,chorus,Edm,..\data\audio_files\processed\21.mp3,0.549,0.835,2,-2.632,0.0656,0.0692,0,0.212,0.423,126.08,4,"country road, edm, pop dance, country dawn, pop edm, contemporary country, progressive electro house, electro house, progressive house, country, country pop",48000
21,99.5,160.5,9328,15046,other,Edm,..\data\audio_files\processed\21.mp3,0.549,0.835,2,-2.632,0.0656,0.0692,0,0.212,0.423,126.08,4,"country road, edm, pop dance, country dawn, pop edm, contemporary country, progressive electro house, electro house, progressive house, country, country pop",48000
21,160.5,190.9,15046,17896,chorus,Edm,..\data\audio_files\processed\21.mp3,0.549,0.835,2,-2.632,0.0656,0.0692,0,0.212,0.423,126.08,4,"country road, edm, pop dance, country dawn, pop edm, contemporary country, progressive electro house, electro house, progressive house, country, country pop",48000
21,190.9,209.1790023,17896,19610,other,Edm,..\data\audio_files\processed\21.mp3,0.549,0.835,2,-2.632,0.0656,0.0692,0,0.212,0.423,126.08,4,"country road, edm, pop dance, country dawn, pop edm, contemporary country, progressive electro house, electro house, progressive house, country, country pop",48000
22,0,63.1,0,5915,other,Brostep,..\data\audio_files\processed\22.mp3,0.759,0.939,7,-5.072,0.0826,0.00393,0.0714,0.0953,0.123,122.02,4,"birmingham hip hop, afroswing, trap queen, electro house, canadian electronic, brostep",48000
22,63.1,94.6,5915,8868,chorus,Brostep,..\data\audio_files\processed\22.mp3,0.759,0.939,7,-5.072,0.0826,0.00393,0.0714,0.0953,0.123,122.02,4,"birmingham hip hop, afroswing, trap queen, electro house, canadian electronic, brostep",48000
22,94.6,126,8868,11812,other,Brostep,..\data\audio_files\processed\22.mp3,0.759,0.939,7,-5.072,0.0826,0.00393,0.0714,0.0953,0.123,122.02,4,"birmingham hip hop, afroswing, trap queen, electro house, canadian electronic, brostep",48000
22,126,157.5,11812,14765,chorus,Brostep,..\data\audio_files\processed\22.mp3,0.759,0.939,7,-5.072,0.0826,0.00393,0.0714,0.0953,0.123,122.02,4,"birmingham hip hop, afroswing, trap queen, electro house, canadian electronic, brostep",48000
22,157.5,191,14765,17906,other,Brostep,..\data\audio_files\processed\22.mp3,0.759,0.939,7,-5.072,0.0826,0.00393,0.0714,0.0953,0.123,122.02,4,"birmingham hip hop, afroswing, trap queen, electro house, canadian electronic, brostep",48000
22,191,214.6,17906,20118,chorus,Brostep,..\data\audio_files\processed\22.mp3,0.759,0.939,7,-5.072,0.0826,0.00393,0.0714,0.0953,0.123,122.02,4,"birmingham hip hop, afroswing, trap queen, electro house, canadian electronic, brostep",48000
22,214.6,255.3700227,20118,23940,other,Brostep,..\data\audio_files\processed\22.mp3,0.759,0.939,7,-5.072,0.0826,0.00393,0.0714,0.0953,0.123,122.02,4,"birmingham hip hop, afroswing, trap queen, electro house, canadian electronic, brostep",48000
23,0,63.9,0,5990,other,Deep Tropical House,..\data\audio_files\processed\23.mp3,0.638,0.93,7,-5.585,0.05,0.0207,0.207,0.241,0.427,125.016,4,"vapor soul, vapor twitch, pop edm, deep tropical house",48000
23,63.9,79.4,5990,7443,chorus,Deep Tropical House,..\data\audio_files\processed\23.mp3,0.638,0.93,7,-5.585,0.05,0.0207,0.207,0.241,0.427,125.016,4,"vapor soul, vapor twitch, pop edm, deep tropical house",48000
23,79.4,156.1,7443,14634,other,Deep Tropical House,..\data\audio_files\processed\23.mp3,0.638,0.93,7,-5.585,0.05,0.0207,0.207,0.241,0.427,125.016,4,"vapor soul, vapor twitch, pop edm, deep tropical house",48000
23,156.1,186.9,14634,17521,chorus,Deep Tropical House,..\data\audio_files\processed\23.mp3,0.638,0.93,7,-5.585,0.05,0.0207,0.207,0.241,0.427,125.016,4,"vapor soul, vapor twitch, pop edm, deep tropical house",48000
23,186.9,187.8310204,17521,17609,other,Deep Tropical House,..\data\audio_files\processed\23.mp3,0.638,0.93,7,-5.585,0.05,0.0207,0.207,0.241,0.427,125.016,4,"vapor soul, vapor twitch, pop edm, deep tropical house",48000
25,0,32.2,0,3018,other,,..\data\audio_files\processed\25.mp3,0.804,0.837,9,-4.392,0.0678,0.00238,0.118,0.206,0.825,127.015,4,bmore,48000
25,32.2,60.6,3018,5681,chorus,,..\data\audio_files\processed\25.mp3,0.804,0.837,9,-4.392,0.0678,0.00238,0.118,0.206,0.825,127.015,4,bmore,48000
25,60.6,107.8,5681,10106,other,,..\data\audio_files\processed\25.mp3,0.804,0.837,9,-4.392,0.0678,0.00238,0.118,0.206,0.825,127.015,4,bmore,48000
25,107.8,136.1,10106,12759,chorus,,..\data\audio_files\processed\25.mp3,0.804,0.837,9,-4.392,0.0678,0.00238,0.118,0.206,0.825,127.015,4,bmore,48000
25,136.1,168.9830385,12759,15842,other,,..\data\audio_files\processed\25.mp3,0.804,0.837,9,-4.392,0.0678,0.00238,0.118,0.206,0.825,127.015,4,bmore,48000
26,0,51.5,0,4828,other,,..\data\audio_files\processed\26.mp3,0.968,0.865,9,-5.484,0.302,0.192,0.00383,0.309,0.652,125.016,4,hyperpop,48000
26,51.5,78.4,4828,7350,chorus,,..\data\audio_files\processed\26.mp3,0.968,0.865,9,-5.484,0.302,0.192,0.00383,0.309,0.652,125.016,4,hyperpop,48000
26,78.4,128.3,7350,12028,other,,..\data\audio_files\processed\26.mp3,0.968,0.865,9,-5.484,0.302,0.192,0.00383,0.309,0.652,125.016,4,hyperpop,48000
26,128.3,155.5,12028,14578,chorus,,..\data\audio_files\processed\26.mp3,0.968,0.865,9,-5.484,0.302,0.192,0.00383,0.309,0.652,125.016,4,hyperpop,48000
26,155.5,156.7440363,14578,14694,other,,..\data\audio_files\processed\26.mp3,0.968,0.865,9,-5.484,0.302,0.192,0.00383,0.309,0.652,125.016,4,hyperpop,48000
29,0,69.1,0,6478,other,Bass House,..\data\audio_files\processed\29.mp3,0.829,0.985,1,-3.33,0.067,0.000347,0.762,0.0326,0.599,124.983,4,bass house,48000
29,69.1,97.9,6478,9178,chorus,Bass House,..\data\audio_files\processed\29.mp3,0.829,0.985,1,-3.33,0.067,0.000347,0.762,0.0326,0.599,124.983,4,bass house,48000
29,97.9,153.6,9178,14400,other,Bass House,..\data\audio_files\processed\29.mp3,0.829,0.985,1,-3.33,0.067,0.000347,0.762,0.0326,0.599,124.983,4,bass house,48000
29,153.6,184.3,14400,17278,chorus,Bass House,..\data\audio_files\processed\29.mp3,0.829,0.985,1,-3.33,0.067,0.000347,0.762,0.0326,0.599,124.983,4,bass house,48000
29,184.3,215.04,17278,20160,other,Bass House,..\data\audio_files\processed\29.mp3,0.829,0.985,1,-3.33,0.067,0.000347,0.762,0.0326,0.599,124.983,4,bass house,48000
30,0,75.2,0,7050,other,Charva,..\data\audio_files\processed\30.mp3,0.795,0.782,0,-5.854,0.0307,0.161,0.00262,0.0857,0.233,127.977,4,"pop dance, house, charva, uk dance",48000
30,75.2,120.2,7050,11268,chorus,Charva,..\data\audio_files\processed\30.mp3,0.795,0.782,0,-5.854,0.0307,0.161,0.00262,0.0857,0.233,127.977,4,"pop dance, house, charva, uk dance",48000
30,120.2,165.2,11268,15487,other,Charva,..\data\audio_files\processed\30.mp3,0.795,0.782,0,-5.854,0.0307,0.161,0.00262,0.0857,0.233,127.977,4,"pop dance, house, charva, uk dance",48000
30,165.2,210.1,15487,19696,chorus,Charva,..\data\audio_files\processed\30.mp3,0.795,0.782,0,-5.854,0.0307,0.161,0.00262,0.0857,0.233,127.977,4,"pop dance, house, charva, uk dance",48000
30,210.1,213.2090249,19696,19988,other,Charva,..\data\audio_files\processed\30.mp3,0.795,0.782,0,-5.854,0.0307,0.161,0.00262,0.0857,0.233,127.977,4,"pop dance, house, charva, uk dance",48000
32,0,30.2,0,2831,other,,..\data\audio_files\processed\32.mp3,0.785,0.86,7,-5.902,0.0368,0.00013,0.179,0.152,0.787,130.013,4,"uk dance, deep groove house, uk pop",48000
32,30.2,59.7,2831,5596,chorus,,..\data\audio_files\processed\32.mp3,0.785,0.86,7,-5.902,0.0368,0.00013,0.179,0.152,0.787,130.013,4,"uk dance, deep groove house, uk pop",48000
32,59.7,89.2,5596,8362,other,,..\data\audio_files\processed\32.mp3,0.785,0.86,7,-5.902,0.0368,0.00013,0.179,0.152,0.787,130.013,4,"uk dance, deep groove house, uk pop",48000
32,89.2,118.8,8362,11137,chorus,,..\data\audio_files\processed\32.mp3,0.785,0.86,7,-5.902,0.0368,0.00013,0.179,0.152,0.787,130.013,4,"uk dance, deep groove house, uk pop",48000
32,118.8,126.845034,11137,11891,other,,..\data\audio_files\processed\32.mp3,0.785,0.86,7,-5.902,0.0368,0.00013,0.179,0.152,0.787,130.013,4,"uk dance, deep groove house, uk pop",48000
33,0,45.3,0,4246,other,Bass House,..\data\audio_files\processed\33.mp3,0.841,0.483,0,-7.43,0.103,0.00354,0.83,0.466,0.246,127.991,4,"uk tech house, bass house, house, uk dance, tech house",48000
33,45.3,71.7,4246,6721,chorus,Bass House,..\data\audio_files\processed\33.mp3,0.841,0.483,0,-7.43,0.103,0.00354,0.83,0.466,0.246,127.991,4,"uk tech house, bass house, house, uk dance, tech house",48000
33,71.7,135.2,6721,12674,other,Bass House,..\data\audio_files\processed\33.mp3,0.841,0.483,0,-7.43,0.103,0.00354,0.83,0.466,0.246,127.991,4,"uk tech house, bass house, house, uk dance, tech house",48000
33,135.2,161.6,12674,15150,chorus,Bass House,..\data\audio_files\processed\33.mp3,0.841,0.483,0,-7.43,0.103,0.00354,0.83,0.466,0.246,127.991,4,"uk tech house, bass house, house, uk dance, tech house",48000
33,161.6,184.7870295,15150,17323,other,Bass House,..\data\audio_files\processed\33.mp3,0.841,0.483,0,-7.43,0.103,0.00354,0.83,0.466,0.246,127.991,4,"uk tech house, bass house, house, uk dance, tech house",48000
36,0,54.6,0,5118,other,Bass House,..\data\audio_files\processed\36.mp3,0.81,0.554,11,-17.77,0.192,0.0181,0.00718,0.73,0.79,127.019,4,"uk tech house, bass house, stutter house, house, uk dance, tech house",48000
36,54.6,96.2,5118,9018,chorus,Bass House,..\data\audio_files\processed\36.mp3,0.81,0.554,11,-17.77,0.192,0.0181,0.00718,0.73,0.79,127.019,4,"uk tech house, bass house, stutter house, house, uk dance, tech house",48000
36,96.2,152.9,9018,14334,other,Bass House,..\data\audio_files\processed\36.mp3,0.81,0.554,11,-17.77,0.192,0.0181,0.00718,0.73,0.79,127.019,4,"uk tech house, bass house, stutter house, house, uk dance, tech house",48000
36,152.9,175.6,14334,16462,chorus,Bass House,..\data\audio_files\processed\36.mp3,0.81,0.554,11,-17.77,0.192,0.0181,0.00718,0.73,0.79,127.019,4,"uk tech house, bass house, stutter house, house, uk dance, tech house",48000
36,175.6,187.0930159,16462,17539,other,Bass House,..\data\audio_files\processed\36.mp3,0.81,0.554,11,-17.77,0.192,0.0181,0.00718,0.73,0.79,127.019,4,"uk tech house, bass house, stutter house, house, uk dance, tech house",48000
37,0,11.4,0,1068,other,Bass House,..\data\audio_files\processed\37.mp3,0.802,0.945,2,-4.466,0.0736,0.000727,0.661,0.319,0.154,126.026,4,"tech house, bass house",48000
37,11.4,57.1,1068,5353,chorus,Bass House,..\data\audio_files\processed\37.mp3,0.802,0.945,2,-4.466,0.0736,0.000727,0.661,0.319,0.154,126.026,4,"tech house, bass house",48000
37,57.1,137.1,5353,12853,other,Bass House,..\data\audio_files\processed\37.mp3,0.802,0.945,2,-4.466,0.0736,0.000727,0.661,0.319,0.154,126.026,4,"tech house, bass house",48000
37,137.1,182.8,12853,17137,chorus,Bass House,..\data\audio_files\processed\37.mp3,0.802,0.945,2,-4.466,0.0736,0.000727,0.661,0.319,0.154,126.026,4,"tech house, bass house",48000
37,182.8,183.6290249,17137,17215,other,Bass House,..\data\audio_files\processed\37.mp3,0.802,0.945,2,-4.466,0.0736,0.000727,0.661,0.319,0.154,126.026,4,"tech house, bass house",48000
38,0,45.7,0,4284,other,Bass House,..\data\audio_files\processed\38.mp3,0.773,0.89,6,-7.044,0.0578,0.00111,0.871,0.0884,0.745,126.028,4,"tech house, bass house",48000
38,45.7,91.4,4284,8568,chorus,Bass House,..\data\audio_files\processed\38.mp3,0.773,0.89,6,-7.044,0.0578,0.00111,0.871,0.0884,0.745,126.028,4,"tech house, bass house",48000
38,91.4,152.4,8568,14287,other,Bass House,..\data\audio_files\processed\38.mp3,0.773,0.89,6,-7.044,0.0578,0.00111,0.871,0.0884,0.745,126.028,4,"tech house, bass house",48000
38,152.4,182.8,14287,17137,chorus,Bass House,..\data\audio_files\processed\38.mp3,0.773,0.89,6,-7.044,0.0578,0.00111,0.871,0.0884,0.745,126.028,4,"tech house, bass house",48000
38,182.8,185.005034,17137,17344,other,Bass House,..\data\audio_files\processed\38.mp3,0.773,0.89,6,-7.044,0.0578,0.00111,0.871,0.0884,0.745,126.028,4,"tech house, bass house",48000
40,0,31.9,0,2990,other,Bass House,..\data\audio_files\processed\40.mp3,0.838,0.88,1,-5.641,0.0625,0.00824,0.0253,0.0613,0.37,127.962,4,"indonesian edm, tech house, bass house",48000
40,31.9,76.9,2990,7209,chorus,Bass House,..\data\audio_files\processed\40.mp3,0.838,0.88,1,-5.641,0.0625,0.00824,0.0253,0.0613,0.37,127.962,4,"indonesian edm, tech house, bass house",48000
40,76.9,136.9,7209,12834,other,Bass House,..\data\audio_files\processed\40.mp3,0.838,0.88,1,-5.641,0.0625,0.00824,0.0253,0.0613,0.37,127.962,4,"indonesian edm, tech house, bass house",48000
40,136.9,181.9,12834,17053,chorus,Bass House,..\data\audio_files\processed\40.mp3,0.838,0.88,1,-5.641,0.0625,0.00824,0.0253,0.0613,0.37,127.962,4,"indonesian edm, tech house, bass house",48000
41,0,30.5,0,2859,other,Bass House,..\data\audio_files\processed\41.mp3,0.8,0.976,6,-8.462,0.062,0.00493,0.898,0.0849,0.388,127.012,4,"indonesian edm, tech house, bass house",48000
41,30.5,60.7,2859,5690,chorus,Bass House,..\data\audio_files\processed\41.mp3,0.8,0.976,6,-8.462,0.062,0.00493,0.898,0.0849,0.388,127.012,4,"indonesian edm, tech house, bass house",48000
41,60.7,136.3,5690,12778,other,Bass House,..\data\audio_files\processed\41.mp3,0.8,0.976,6,-8.462,0.062,0.00493,0.898,0.0849,0.388,127.012,4,"indonesian edm, tech house, bass house",48000
41,136.3,166.5,12778,15609,chorus,Bass House,..\data\audio_files\processed\41.mp3,0.8,0.976,6,-8.462,0.062,0.00493,0.898,0.0849,0.388,127.012,4,"indonesian edm, tech house, bass house",48000
